,Pygmy chimpanzee,Finback whale,Harbor seal,Blue whale,Gray seal,Opossum,Horse,Chimpanzee,Gorilla,Cat,Wallaroo,White rhinoceros,Orangutan,House mouse,Rat,Cow,Gibbon,Chicken,Human
Pygmy chimpanzee,0.0,0.9814255862549338,0.9821961865380198,0.9819976771196284,0.9828834003446295,0.9868315584564297,0.9815157116451017,0.9326538041499818,0.9604653923780125,0.9829811536264992,0.9836459286367795,0.9819674026124148,0.9748596819457437,0.9832963438850602,0.9822554284380107,0.9825601674223927,0.9754050588646695,0.983555657773689,0.9629455358193154
Finback whale,0.9814255862549338,0.0,0.9817404368427135,0.9451706608569354,0.9818434139007748,0.985821325648415,0.9803419797603815,0.9825500232666357,0.9830627263170191,0.9813621721122872,0.9821469707440682,0.9803213786679087,0.9836772764369827,0.9818823529411764,0.9819121447028424,0.9800726761223773,0.9833662905664767,0.9849867190206721,0.9828266419122766
Harbor seal,0.9821961865380198,0.9817404368427135,0.0,0.9811320754716981,0.9237380462413751,0.9860778272281182,0.9792459356624006,0.9823732718894009,0.9833506763787722,0.9768852271426937,0.9824401368301027,0.9800484373198016,0.9831369831369832,0.9821844434094085,0.9819767441860465,0.980865128145657,0.983883964544722,0.9850200114351058,0.9832318823934765
Blue whale,0.9819976771196284,0.9451706608569354,0.9811320754716981,0.0,0.9820601851851852,0.9860406091370558,0.9791326649568663,0.9822947000582412,0.9820926966292135,0.9815774323546345,0.9816587841734917,0.9804195804195804,0.9828291087489779,0.9813832920937905,0.9811742557947993,0.9798122065727699,0.9827566119072585,0.984736355226642,0.9828086885817168
Gray seal,0.9828834003446295,0.9818434139007748,0.9237380462413751,0.9820601851851852,0.0,0.9871078151739875,0.9785219399538106,0.9821243224541575,0.9835724201758446,0.9778032036613272,0.9824261097797558,0.9805029995385325,0.9835932986712883,0.9824070837702435,0.9830272029760521,0.9808495821727019,0.9836367826688177,0.9853563665484498,0.9840358332376249
Opossum,0.9868315584564297,0.985821325648415,0.9860778272281182,0.9860406091370558,0.9871078151739875,0.0,0.9836744079098644,0.9873708381171068,0.9881295378587069,0.9862609288066311,0.9802014190890364,0.9841251581732429,0.98919167529033,0.9809690601284297,0.9834883720930232,0.9849624060150376,0.9896836313617606,0.9915803845716237,0.9884426135713469
Horse,0.9815157116451017,0.9803419797603815,0.9792459356624006,0.9791326649568663,0.9785219399538106,0.9836744079098644,0.0,0.980865128145657,0.9817250611104644,0.9794654124125273,0.9789558417663293,0.9732788798133022,0.9818667906544228,0.9797019828698815,0.9808097355487948,0.9807647470272791,0.9825049241107635,0.9838913818893108,0.9814986123959297
Chimpanzee,0.9326538041499818,0.9825500232666357,0.9823732718894009,0.9822947000582412,0.9821243224541575,0.9873708381171068,0.980865128145657,0.0,0.963050968278484,0.9836253292110386,0.9835933914639743,0.9827346465816917,0.9751377975841444,0.9834797891036907,0.9829119850187266,0.9834518121431068,0.9740046838407495,0.9839714022140221,0.9623332152556382
Gorilla,0.9604653923780125,0.9830627263170191,0.9833506763787722,0.9820926966292135,0.9835724201758446,0.9881295378587069,0.9817250611104644,0.963050968278484,0.0,0.9840174772910198,0.9837520165936852,0.9824173265020959,0.9741745283018868,0.983641285159468,0.9834293101422024,0.9832552693208431,0.9748472026328162,0.9833082183841428,0.9687610515147943
Cat,0.9829811536264992,0.9813621721122872,0.9768852271426937,0.9815774323546345,0.9778032036613272,0.9862609288066311,0.9794654124125273,0.9836253292110386,0.9840174772910198,0.0,0.9824103495233772,0.9803809086737035,0.9854357798165138,0.9821552723059096,0.981712962962963,0.9815476876946142,0.9834975933990373,0.9864772727272727,0.9838949171901771
Wallaroo,0.9836459286367795,0.9821469707440682,0.9824401368301027,0.9816587841734917,0.9824261097797558,0.9802014190890364,0.9789558417663293,0.9835933914639743,0.9837520165936852,0.9824103495233772,0.0,0.9806940933118823,0.9849407977928497,0.9798696765185013,0.9801393728222997,0.982217090069284,0.983698771668006,0.9855270655270655,0.9839798603959263
White rhinoceros,0.9819674026124148,0.9803213786679087,0.9800484373198016,0.9804195804195804,0.9805029995385325,0.9841251581732429,0.9732788798133022,0.9827346465816917,0.9824173265020959,0.9803809086737035,0.9806940933118823,0.0,0.9831493317838466,0.9793208788626483,0.9818628598174585,0.98062558356676,0.9826046619505973,0.9845764272559853,0.9828921511963935
Orangutan,0.9748596819457437,0.9836772764369827,0.9831369831369832,0.9828291087489779,0.9835932986712883,0.98919167529033,0.9818667906544228,0.9751377975841444,0.9741745283018868,0.9854357798165138,0.9849407977928497,0.9831493317838466,0.0,0.9854511322304353,0.9840469208211143,0.984938704028021,0.9763216504512953,0.9828584665276813,0.9745961133224069
