,Pygmy chimpanzee,Finback whale,Harbor seal,Blue whale,Gray seal,Opossum,Horse,Chimpanzee,Gorilla,Cat,Wallaroo,White rhinoceros,Orangutan,House mouse,Rat,Cow,Gibbon,Chicken,Human
Pygmy chimpanzee,0.0,0.9916328600405679,0.9916939340548704,0.9920406435224386,0.9931944211056966,0.9918101286979776,0.9907978049810047,0.9905604719764012,0.9899957609156422,0.9910475234270415,0.9918162839248434,0.9897089835512441,0.9898502918041107,0.9910729467777589,0.9908155455395867,0.9893202237667401,0.9897596479350034,0.9903442485306465,0.989198312236287
Finback whale,0.9916328600405679,0.0,0.9888088172954642,0.9855732073851439,0.9916051895192063,0.9891084093211753,0.9877986348122867,0.9887697805002552,0.9900042716787698,0.9897011649501941,0.9890313871076611,0.9911729757256832,0.9885646014678273,0.9896181896181896,0.9894447781687119,0.9900998549116669,0.9895078051693252,0.9895859791719583,0.9898878314072059
Harbor seal,0.9916939340548704,0.9888088172954642,0.0,0.9892984542211652,0.9844001695633743,0.9901189080556021,0.9886594448205822,0.9879976333361508,0.9889634094575092,0.9909600736586591,0.9902953233497866,0.9887668918918919,0.9880488218342092,0.9896951115653211,0.9895229982964225,0.989316601661862,0.9877852235134448,0.989747037566182,0.9891946648657775
Blue whale,0.9920406435224386,0.9855732073851439,0.9892984542211652,0.0,0.9909856280295943,0.9907063197026023,0.9888082016232379,0.9888301500682128,0.9904998288257446,0.9903610383021899,0.9916497975708503,0.9899497487437185,0.9880188275566966,0.9884631941455015,0.9900283675750021,0.9874785591766724,0.9887053991614615,0.9898192924408247,0.9901226158038147
Gray seal,0.9931944211056966,0.9916051895192063,0.9844001695633743,0.9909856280295943,0.0,0.9913605099815467,0.9904253516353161,0.988390814337768,0.989188729037201,0.9905097841605778,0.9908595387840671,0.9901023602064123,0.9876690194744451,0.9897505978817902,0.9904404233526801,0.9881661842329303,0.9886952826179346,0.9887792120138361,0.9895048666948794
Opossum,0.9918101286979776,0.9891084093211753,0.9901189080556021,0.9907063197026023,0.9913605099815467,0.0,0.9883622870635858,0.9903393817204301,0.9900312579200811,0.9900684359873143,0.9896589108498041,0.9914407988587732,0.9889488780158596,0.9918733598577838,0.9913610570000847,0.9906368620835091,0.989199223694203,0.9917279411764706,0.9911029041463824
Horse,0.9907978049810047,0.9877986348122867,0.9886594448205822,0.9888082016232379,0.9904253516353161,0.9883622870635858,0.0,0.9891350479585773,0.9885577662027154,0.9900614840394172,0.9904978136562395,0.9885340580941057,0.988931460195828,0.9894655704008222,0.991452260876998,0.9886547811993517,0.9891841253619486,0.9896915927334178,0.9895647747518452
Chimpanzee,0.9905604719764012,0.9887697805002552,0.9879976333361508,0.9888301500682128,0.988390814337768,0.9903393817204301,0.9891350479585773,0.0,0.9899574468085106,0.9911831388025862,0.9895833333333334,0.9907806817220671,0.9874042553191489,0.9910386617734915,0.991727078891258,0.988160136286201,0.9901494565217391,0.9893706765648727,0.9889001864090832
Gorilla,0.9899957609156422,0.9900042716787698,0.9889634094575092,0.9904998288257446,0.989188729037201,0.9900312579200811,0.9885577662027154,0.9899574468085106,0.0,0.991731353358083,0.990975794889095,0.9907305042945829,0.9874219217934457,0.9898625429553265,0.9905563186813187,0.9882685391334133,0.9894053315105946,0.989141499830336,0.990130179528631
Cat,0.9910475234270415,0.9897011649501941,0.9909600736586591,0.9903610383021899,0.9905097841605778,0.9900684359873143,0.9900614840394172,0.9911831388025862,0.991731353358083,0.0,0.9907492291024252,0.9907594086021505,0.9894559257697174,0.9901594842212419,0.9904164193028581,0.9904625253207292,0.9891093288307302,0.9907120743034056,0.9909297052154195
Wallaroo,0.9918162839248434,0.9890313871076611,0.9902953233497866,0.9916497975708503,0.9908595387840671,0.9896589108498041,0.9904978136562395,0.9895833333333334,0.990975794889095,0.9907492291024252,0.0,0.9894135439421946,0.9897237196765498,0.9900855859672909,0.9918795466080189,0.9886833882273457,0.9891221856817607,0.9901321291185817,0.9898387638562312
White rhinoceros,0.9897089835512441,0.9911729757256832,0.9887668918918919,0.9899497487437185,0.9901023602064123,0.9914407988587732,0.9885340580941057,0.9907806817220671,0.9907305042945829,0.9907594086021505,0.9894135439421946,0.0,0.9877488514548239,0.9904355251921435,0.9919849931787176,0.9899668395544596,0.9915196743554953,0.9922611036339165,0.9923154872487755
Orangutan,0.9898502918041107,0.9885646014678273,0.9880488218342092,0.9880188275566966,0.9876690194744451,0.9889488780158596,0.988931460195828,0.9874042553191489,0.9874219217934457,0.9894559257697174,0.9897237196765498,0.9877488514548239,0.0,0.9910989387196165,0.9906670091617433,0.9903682236617798,0.98805256869773,0.9917285617825793,0.9903266864658464
