,Pygmy chimpanzee,Finback whale,Harbor seal,Blue whale,Gray seal,Opossum,Horse,Chimpanzee,Gorilla,Cat,Wallaroo,White rhinoceros,Orangutan,House mouse,Rat,Cow,Gibbon,Chicken,Human
Pygmy chimpanzee,0.0,0.9894272104101313,0.9981724728726442,0.9961871750433275,0.9970234688036634,0.9904597701149426,0.9951585014409222,0.6810344827586207,0.8715846994535519,0.995434311151695,0.9929078014184397,1.000572540936677,0.9762073027090695,0.9961565338923829,0.9956966736450338,0.9971081550028918,0.9814100315678709,0.9950693727783511,0.8695989650711513
Finback whale,0.9894272104101313,0.0,0.9977040523476065,0.8184178166416177,0.9948132780082988,0.9963264837561704,1.0080027437978736,0.9899941826643397,0.9898197987362509,0.9971382783882784,0.9929909226703436,1.0028692757947895,0.9948884758364313,0.9990666199976665,0.9929701230228472,1.0005790387955993,0.9954824510598865,0.9943515850144092,0.9960757156048015
Harbor seal,0.9981724728726442,0.9977040523476065,0.0,1.0018312922055626,0.6687859521646988,0.9940666362391603,0.9989703695229378,0.9947175011483693,0.9957319183296804,0.9949943117178612,0.996137680336249,1.0039790814006366,0.9946998502131582,0.9954719609892023,0.9972235076353541,0.991307371349096,0.9936708860759493,0.9938236303328377,0.994612563044475
Blue whale,0.9961871750433275,0.8184178166416177,1.0018312922055626,0.0,0.9899118738404453,0.9995417573605224,1.0017277125086386,0.9936165273909007,0.9958076161639688,0.9977093116481502,0.9905442804428044,1.0006909258406265,0.9966329966329966,0.99601640304628,0.9904750705550329,0.9961569814836381,0.9950110221603434,0.9914351851851851,0.9998848854610337
Gray seal,0.9970234688036634,0.9948132780082988,0.6687859521646988,0.9899118738404453,0.0,0.9989769239513471,0.9978213507625272,1.0004572473708275,0.9968854539162533,0.9886532951289398,0.9955621301775148,0.9990849822715315,0.9971231300345225,1.003918856615952,0.9968717413972888,0.9918821755769454,0.998509516166017,0.995197255574614,0.9952981651376147
Opossum,0.9904597701149426,0.9963264837561704,0.9940666362391603,0.9995417573605224,0.9989769239513471,0.0,0.990785533287261,0.9878766886040873,0.9907385968974299,0.9980745271265149,0.9872968642710003,0.9955346920082436,0.9916907097518753,0.9966415749855241,0.9956028697060866,0.9978150873965042,0.9937952430196484,0.9942915857974655,0.9911555249253389
Horse,0.9951585014409222,1.0080027437978736,0.9989703695229378,1.0017277125086386,0.9978213507625272,0.990785533287261,0.0,0.9943359149231302,0.9955885767355468,0.9936962750716333,0.9956546598056032,0.9872048388972897,1.0016119746689696,0.9960298925735638,0.9990704159888449,1.0021919704660822,0.9972308757355486,0.9958653956586654,1.0034297473419458
Chimpanzee,0.6810344827586207,0.9899941826643397,0.9947175011483693,0.9936165273909007,1.0004572473708275,0.9878766886040873,0.9943359149231302,0.0,0.8950727597651263,0.9989743589743589,0.9906960716747071,0.9960815950213208,0.980371415138693,0.9975527327817271,0.9941643323996265,0.997799397729905,0.9829219791788514,0.9939038417299287,0.8771726535341831
Gorilla,0.8715846994535519,0.9898197987362509,0.9957319183296804,0.9958076161639688,0.9968854539162533,0.9907385968974299,0.9955885767355468,0.8950727597651263,0.0,0.9941278065630397,0.9921577672702111,0.9961761297798378,0.9795363141708067,0.9943569245238655,0.9946034725480994,0.9933317735142724,0.9892460549386324,0.9936372049976863,0.9246125232486051
Cat,0.995434311151695,0.9971382783882784,0.9949943117178612,0.9977093116481502,0.9886532951289398,0.9980745271265149,0.9936962750716333,0.9989743589743589,0.9941278065630397,0.0,0.9951269265639165,0.9955438756855576,0.9964465841357175,0.9959523534173702,0.9993097100782329,0.9944732297063903,0.9955357142857143,0.9946469248291572,0.9947458595088521
Wallaroo,0.9929078014184397,0.9929909226703436,0.996137680336249,0.9905442804428044,0.9955621301775148,0.9872968642710003,0.9956546598056032,0.9906960716747071,0.9921577672702111,0.9951269265639165,0.0,0.9911666857863944,0.9943736364680216,1.0021829044117647,0.995033495033495,0.9967845659163987,0.9910344827586207,0.997160704145372,0.9977231329690346
White rhinoceros,1.000572540936677,1.0028692757947895,1.0039790814006366,1.0006909258406265,0.9990849822715315,0.9955346920082436,0.9872048388972897,0.9960815950213208,0.9961761297798378,0.9955438756855576,0.9911666857863944,0.0,0.9990777034816694,0.9977881257275902,0.9965095986038395,0.9972209356183418,0.9952661355501674,0.9927511218501899,1.0036529680365296
Orangutan,0.9762073027090695,0.9948884758364313,0.9946998502131582,0.9966329966329966,0.9971231300345225,0.9916907097518753,1.0016119746689696,0.980371415138693,0.9795363141708067,0.9964465841357175,0.9943736364680216,0.9990777034816694,0.0,0.9994164332399627,0.9936731107205624,0.9968593695475165,0.9945469311985149,0.9951590594744122,0.9816051552431165
House mouse,0.9961565338923829,0.9990666199976665,0.9954719609892023,0.99601640304628,1.003918856615952,0.9966415749855241,0.9960298925735638,0.9975527327817271,0.9943569245238655,0.9959523534173702,1.0021829044117647,0.9977881257275902,0.9994164332399627,0.0,0.9835282883743137,1.0034960960261041,0.9954407294832827,0.9967506092607636,0.9928721663940173
Rat,0.9956966736450338,0.9929701230228472,0.9972235076353541,0.9904750705550329,0.9968717413972888,0.9956028697060866,0.9990704159888449,0.9941643323996265,0.9946034725480994,0.9993097100782329,0.995033495033495,0.9965095986038395,0.9936731107205624,0.9835282883743137,0.0,0.9930653502585801,0.9923923220973783,0.9936091099233093,0.9931203358208955
Cow,0.9971081550028918,1.0005790387955993,0.991307371349096,0.9961569814836381,0.9918821755769454,0.9978150873965042,1.0021919704660822,0.997799397729905,0.9933317735142724,0.9944732297063903,0.9967845659163987,0.9972209356183418,0.9968593695475165,1.0034960960261041,0.9930653502585801,0.0,1.000693641618497,0.9959588962013625,1.0009218713989398
Gibbon,0.9814100315678709,0.9954824510598865,0.9936708860759493,0.9950110221603434,0.998509516166017,0.9937952430196484,0.9972308757355486,0.9829219791788514,0.9892460549386324,0.9955357142857143,0.9910344827586207,0.9952661355501674,0.9945469311985149,0.9954407294832827,0.9923923220973783,1.000693641618497,0.0,0.9932019817951376,0.9849702901083537
Chicken,0.9950693727783511,0.9943515850144092,0.9938236303328377,0.9914351851851851,0.995197255574614,0.9942915857974655,0.9958653956586654,0.9939038417299287,0.9936372049976863,0.9946469248291572,0.997160704145372,0.9927511218501899,0.9951590594744122,0.9967506092607636,0.9936091099233093,0.9959588962013625,0.9932019817951376,0.0,0.9955300859598853
Human,0.8695989650711513,0.9960757156048015,0.994612563044475,0.9998848854610337,0.9952981651376147,0.9911555249253389,1.0034297473419458,0.8771726535341831,0.9246125232486051,0.9947458595088521,0.9977231329690346,1.0036529680365296,0.9816051552431165,0.9928721663940173,0.9931203358208955,1.0009218713989398,0.9849702901083537,0.9955300859598853,0.0
