,Pygmy chimpanzee,Finback whale,Harbor seal,Blue whale,Gray seal,Opossum,Horse,Chimpanzee,Gorilla,Cat,Wallaroo,White rhinoceros,Orangutan,House mouse,Rat,Cow,Gibbon,Chicken,Human
Pygmy chimpanzee,0.0,0.7531490015360983,0.7568636398205186,0.7529194837123541,0.7566189896530736,0.7583053946967389,0.7600640439158279,0.46443751771039954,0.574018658686851,0.7570150159259821,0.756507839853859,0.7562871513488798,0.6439374947773042,0.7483597066769587,0.7543156596794082,0.731192949323261,0.6314808539478143,0.732098186366479,0.5344703770197486
Finback whale,0.7531490015360983,0.0,0.6775992128566743,0.4213328075709779,0.6887045620883142,0.7055792609290717,0.6686856953202788,0.7024512579888358,0.7028079857166045,0.6934884472451123,0.7042604501607717,0.6591722874510784,0.7035387480767674,0.7394011032308905,0.7015715332627637,0.6987892670157068,0.7463813719320327,0.7462978923450599,0.7508336564559908
Harbor seal,0.7568636398205186,0.6775992128566743,0.0,0.6634065478657274,0.34905948144382304,0.7093431122448979,0.6428391432171356,0.706264017942967,0.707563834912478,0.6178916992021728,0.7088537109219633,0.62756052141527,0.7070334429384875,0.7428593725612611,0.7066688144329897,0.6997321211137268,0.7522935779816513,0.74928199953427,0.7535541381695228
Blue whale,0.7529194837123541,0.4213328075709779,0.6634065478657274,0.0,0.6677408692778053,0.7059486436448523,0.6541107382550335,0.7014574898785425,0.7016004549516615,0.6685878962536023,0.7030659048845256,0.6389382027221235,0.7027552674230146,0.7312604108828429,0.7009939709956005,0.6862712704444077,0.7456506337085728,0.7466509988249119,0.7506011946319138
Gray seal,0.7566189896530736,0.6887045620883142,0.34905948144382304,0.6677408692778053,0.0,0.7089647471686074,0.6436607892527288,0.7059860565750461,0.7069741282339708,0.6173248407643313,0.7081674892533036,0.6275821198780901,0.7065479056331248,0.7419153257303546,0.7068062827225131,0.699025182778229,0.749610349127182,0.7500969819225696,0.7534973097617217
Opossum,0.7583053946967389,0.7055792609290717,0.7093431122448979,0.7059486436448523,0.7089647471686074,0.0,0.7112337974075852,0.7072661581694099,0.7068020631850419,0.7084095791232397,0.680071783995432,0.7080169450883222,0.7074151520025735,0.7432305525121302,0.7040155440414508,0.7486874069430296,0.7518139970351876,0.752194515652917,0.7544292096749345
Horse,0.7600640439158279,0.6686856953202788,0.6428391432171356,0.6541107382550335,0.6436607892527288,0.7112337974075852,0.0,0.7088790678987545,0.7080038728416975,0.6402853545950482,0.7083666613341866,0.5854963170817258,0.7090309079201546,0.7464017521902377,0.7075242718446602,0.691600295590771,0.7519543464665416,0.7522378765470538,0.7556292412091301
Chimpanzee,0.46443751771039954,0.7024512579888358,0.706264017942967,0.7014574898785425,0.7059860565750461,0.7072661581694099,0.7088790678987545,0.0,0.5007961037744685,0.7064696485623003,0.7049101412066752,0.7038823245719797,0.5762365686883936,0.7415553809897879,0.701812860743029,0.7465376141013536,0.6439799473192285,0.7474400062534199,0.5310081049084783
Gorilla,0.574018658686851,0.7028079857166045,0.707563834912478,0.7016004549516615,0.7069741282339708,0.7068020631850419,0.7080038728416975,0.5007961037744685,0.0,0.7065234813271357,0.7058965489502051,0.705285207863358,0.5755549612195774,0.7420219052872115,0.7043881787836848,0.7460304921399794,0.6493418259023355,0.74958891237961,0.5642582834687863
Cat,0.7570150159259821,0.6934884472451123,0.6178916992021728,0.6685878962536023,0.6173248407643313,0.7084095791232397,0.6402853545950482,0.7064696485623003,0.7065234813271357,0.0,0.7069992849765632,0.6247673828455422,0.707030312724946,0.7427615193026151,0.7017657018463275,0.6971122647631408,0.750524109014675,0.7500386817267523,0.7530476117457641
Wallaroo,0.756507839853859,0.7042604501607717,0.7088537109219633,0.7030659048845256,0.7081674892533036,0.680071783995432,0.7083666613341866,0.7049101412066752,0.7058965489502051,0.7069992849765632,0.0,0.707426018983808,0.7042219541616406,0.7413024783050582,0.7055170188740119,0.7460640714341662,0.7514401370076288,0.7488151658767772,0.7529040695438111
White rhinoceros,0.7562871513488798,0.6591722874510784,0.62756052141527,0.6389382027221235,0.6275821198780901,0.7080169450883222,0.5854963170817258,0.7038823245719797,0.705285207863358,0.6247673828455422,0.707426018983808,0.0,0.7057972179786123,0.7407610397745068,0.7055308841340331,0.6939975500204165,0.74828125,0.7488722974023954,0.7520998689989982
Orangutan,0.6439374947773042,0.7035387480767674,0.7070334429384875,0.7027552674230146,0.7065479056331248,0.7074151520025735,0.7090309079201546,0.5762365686883936,0.5755549612195774,0.707030312724946,0.7042219541616406,0.7057972179786123,0.0,0.7434386295772435,0.7023770758710517,0.7465510445407962,0.6586392724823174,0.7464733542319749,0.6225834046193328
House mouse,0.7483597066769587,0.7394011032308905,0.7428593725612611,0.7312604108828429,0.7419153257303546,0.7432305525121302,0.7464017521902377,0.7415553809897879,0.7420219052872115,0.7427615193026151,0.7413024783050582,0.7407610397745068,0.7434386295772435,0.0,0.641967939972715,0.7477733112634981,0.7503336735495014,0.7499413375048886,0.7254218490057831
Rat,0.7543156596794082,0.7015715332627637,0.7066688144329897,0.7009939709956005,0.7068062827225131,0.7040155440414508,0.7075242718446602,0.701812860743029,0.7043881787836848,0.7017657018463275,0.7055170188740119,0.7055308841340331,0.7023770758710517,0.641967939972715,0.0,0.7455640050697085,0.7474540143680429,0.7470703893039716,0.7502532533312554
Cow,0.731192949323261,0.6987892670157068,0.6997321211137268,0.6862712704444077,0.699025182778229,0.7486874069430296,0.691600295590771,0.7465376141013536,0.7460304921399794,0.6971122647631408,0.7460640714341662,0.6939975500204165,0.7465510445407962,0.7477733112634981,0.7455640050697085,0.0,0.7098720143474362,0.7097271841506982,0.7474162229877858
